QuestionID,QuestionText
1,Are you permitted to have pets at your property?
2,Do you live in a house or a flat?
3,Do you have access to a garden/yard or similar outside space?
4,How big is this outside space?
5,Do you have any animal-based allergies?
6,What is your budget for purchasing your pet?
7,What is your budget per month for ongoing costs for your pet?
8,How much do you know about the pet you want?
9,What size of pet would you prefer?
10,How many hours during the daytime are you willing to dedicate solely to your pet?
